6
5	2	3	1
1000	3	4	5                   
N	120	2	D
S	100	3	D
V	150	4	D
N	140	3	N
S	130	4	N
V	110	5	N
1	30                  
16
R	N	1:5	27	180	1	350
R	V	1:10	22	165	4	250
R	V	1:12	23	140	4	150
R	V	1:15	24	250	2	310
R	N	2:6	1	180	1	350
R	N	2:6	2	95	1	421
R	N	2:6	3	115	1	680
R	N	2:6	5	90	4	230
R	N	2:7	6	270	3	490
R	N	2:7	7	290	4	480
R	N	2:7	8	50	5	250
R	S	2:11	10	295	3	280
R	S	2:14	11	290	4	700
R	S	2:16	12	155	1	670
R	S	2:22	13	195	4	109   
R	S	2:23	16	175	3	440                                                   
